Orð;Mark;Lemma;Leiðrétt mark;Leiðrétt lemma
Gamla;nkeþ-s;Gamli;;
og;c;og;;
Grímu;nveþ-s;Gríma;;
er;sfg3en;vera;;
gert;sþghen;gera;;
nokkuð;fohen;nokkur;;
til;ae;til;;
meins;nhee;mein;;
því;fpheþ;það;;
að;c;að;;
Þorkell;nken-s;Þorkell;;
heldur;sfg3en;halda;;
mjög;aa;mjög;;
hendi;nveþ;hönd;;
yfir;aþ;yfir;;
þeim;fpkfþ;hann;;
.;punct;.;;
»;punct;»;;
Böðvar;nken-s;Böðvar;;
kveðst;sfm3en;kveða;;
búinn;lkensf;búinn;;
til;ae;til;;
ferðar;nvee;ferð;;
þegar;c;þegar;;
vildi;sfg3eþ;vilja;;
.;punct;.;;
Nú;aa;nú;;
standa;sfg3fn;standa;;
þau;fphfn;það;;
upp;aa;upp;;
um;ao;um;;
nóttina;nveog;nótt;;
og;c;og;;
taka;sfg3fn;taka;;
eina;tfveo;einn;;
skútu;nveo;skúta;;
er;ct;er;;
þau;fphfn;það;;
áttu;sfg3fþ;eiga;;
og;aa;og;;
stíga;sng;stíga;;
þar;aa;þar;;
á;ao;á;;
skip;nheo;skip;;
við;ao;við;;
fimmtánda;lkeovf;fimmtándi;;
mann;nkeo;maður;;
,;punct;,;;
róa;sng;róa;;
um;ao;um;;
nóttina;nveog;nótt;;
til;ae;til;;
Eiríksfjarðar;nkee-s;Eiríksfjörður;;
.;punct;.;;
Þá;aa;þá;;
var;sfg3eþ;vera;;
svo;aa;svo;;
misserum;nhfþ;misseri;;
komið;ssg;koma;;
að;c;að;;
nótt;nven;nótt;;
var;sfg3eþ;vera;;
farljós;lkensf;farljós;;
.;punct;.;;
Nú;aa;nú;;
er;sfg3en;vera;;
Þórdís;nven-s;Þórdís;;
var;sfg3eþ;vera;;
á;aþ;á;;
leið;nveþ;leið;;
komin;sþgven;koma;;
við;ao;við;;
sínu;feheþ;sinn;;
föruneyti;nheþ;föruneyti;;
er;sfg3en;vera;;
það;fphen;það;;
sagt;sþghen;segja;;
að;cn;að;;
Gríma;sng;gríma;;
lætur;sfg3en;láta;;
þessa;faveo;þessi;;
sömu;fbveo;sami;;
nótt;nveo;nótt;;
illa;aa;illa;;
í;aþ;í;;
svefni;nkeþ;svefn;;
.;punct;.;;
Þormóður;nken-s;Þormóður;;
mælti;sfg3eþ;mæla;;
að;c;að;;
Gamli;nken-s;Gamli;;
skyldi;svg3eþ;skulu;;
vekja;sng;vekja;;
hana;fpveo;hún;;
.;punct;.;;
Gamli;nken-s;Gamli;;
svaraði;sfg3eþ;svara;;
:;punct;:;;
«;punct;«;;
Ekki;aa;ekki;;
vill;sfg3en;vilja;;
Gríma;nven-s;Gríma;;
að;c;að;;
hún;fpven;hún;;
sé;svg3en;vera;;
vökt;nven;vökt;;
því;fpheþ;það;;
að;c;að;;
jafnan;aa;jafnan;;
verður;sfg3en;verða;;
hún;fpven;hún;;
í;aþ;í;;
svefni;nkeþ;svefn;;
þeirra;fakfe;sá;;
hluta;nkfe;hlutur;;
vís;nhee;ví;;
er;sfg3en;vera;;
henni;fpveþ;hún;;
þykir;sfg3en;þykja;;
varða;sng;varða;;
.;punct;.;;
»;punct;»;;
Nú;aa;nú;;
hætta;sfg3fn;hætta;;
þeir;fpkfn;hann;;
hjalinu;nheþg;hjal;;
en;c;en;;
Gríma;nven-s;Gríma;;
vaknar;sfg3en;vakna;;
skjótt;aa;skjótt;;
.;punct;.;;
Gamli;nken-s;Gamli;;
mælti;sfg3eþ;mæla;;
þá;aa;þá;;
:;punct;:;;
«;punct;«;;
Illa;aa;illa;;
lést;sfm3eþ;láta;;
þú;fp2en;þú;;
í;aþ;í;;
svefni;nkeþ;svefn;;
Gríma;nven-s;Gríma;;
,;punct;,;;
eða;c;eða;;
hvað;fshen;hver;;
bar;sfg3eþ;bera;;
fyrir;ao;fyrir;;
þig;fp2eo;þú;;
?;punct;?;;
»;punct;»;;
Gríma;nven;gríma;;
svarar;sfg3en;svara;;
:;punct;:;;
«;punct;«;;
Það;fphen;það;;
bar;sfg3eþ;bera;;
fyrir;ao;fyrir;;
mig;fp1eo;ég;;
að;c;að;;
eg;fp1en;eg;;
veit;sfg1en;vita;;
að;c;að;;
Þórdís;nven-s;Þórdís;;
af;aþ;af;;
Löngunesi;nheþ-s;Löngunes;;
er;sfg3en;vera;;
á;aþ;á;;
leið;nveþ;leið;;
komin;sþgven;koma;;
með;ao;með;;
fimmtán;tfkfo;fimmtán;;
húskarla;nkfo;húskarl;;
sína;fekfo;sinn;;
og;c;og;;
ætlar;sfg3en;ætla;;
inn;aa;inn;;
hingað;aa;hingað;;
til;aa;til;;
vor;fehfo;vor;;
því;fpheþ;það;;
að;c;að;;
hún;fpven;hún;;
er;sfg3en;vera;;
nú;aa;nú;;
vís;lkensf;vís;;
orðin;sþgven;verða;;
af;aþ;af;;
tröllskap;nkeþ;tröllskapur;;
sínum;fekeþ;sinn;;
að;c;að;;
Þormóður;nken-s;Þormóður;;
er;sfg3en;vera;;
hér;aa;hér;;
á;aþ;á;;
vist;nveþ;vist;;
með;aþ;með;;
okkur;fp1fþ;ég;;
og;c;og;;
ætlar;sfg3en;ætla;;
hún;fpven;hún;;
að;cn;að;;
drepa;sng;drepa;;
hann;fpkeo;hann;;
.;punct;.;;
Nú;aa;nú;;
vil;sfg1en;vilja;;
eg;fp1en;eg;;
að;c;að;;
þú;fp2en;þú;;
sért;svg2en;vera;;
að;aþ;að;;
húsi;nheþ;hús;;
í;ao;í;;
dag;nkeo;dagur;;
og;c;og;;
farir;svg2en;fara;;
ekki;aa;ekki;;
að;aþ;að;;
veiðum;nvfþ;veiði;;
því;fpheþ;það;;
að;c;að;;
eigi;aa;eigi;;
eruð;sfg2fn;vera;;
þið;fp2fn;þú;;
of;aa;of;;
margir;lkfnsf;margur;;
þótt;c;þótt;;
þið;fp2fn;þú;;
séuð;svg2fn;vera;;
tveir;tfkfn;tveir;;
fyrir;aa;fyrir;;
en;c;en;;
fimmtán;tfkfn;fimmtán;;
menn;nkfn;maður;;
sæki;svg3fn;sækja;;
ykkur;fp2fþ;þú;;
heim;aa;heim;;
,;punct;,;;
allra;fokfe;allur;;
helst;aae;gjarna;;
er;sfg3en;vera;;
Þormóður;nken-s;Þormóður;;
er;sfg3en;vera;;
eigi;aa;eigi;;
vopnfær;lkensf;vopnfær;;
.;punct;.;;
En;c;en;;
þó;aa;þó;;
nenni;sfg1en;nenna;;
eg;fp1en;eg;;
eigi;aa;eigi;;
að;cn;að;;
senda;sng;senda;;
ykkur;fp2fo;þú;;
á;ao;á;;
jökla;nkfo;jökull;;
í;aa;í;;
brott;aa;brott;;
heldur;aam;gjarna;;
munuð;sfg2fn;munu;;
þið;fp2fn;þú;;
heima;aa;heima;;
við;aa;við;;
hafast;snm;hafa;;
.;punct;.;;
»;punct;»;;
Nú;aa;nú;;
fór;sfg3eþ;fara;;
Þórdís;nven-s;Þórdís;;
um;ao;um;;
nóttina;nveog;nótt;;
til;ae;til;;
þess;fphee;það;;
er;c;er;;
hún;fpven;hún;;
kom;sfg3eþ;koma;;
í;ao;í;;
Brattahlíð;nveo-s;Brattahlíð;;
.;punct;.;;
Þorkell;nken-s;Þorkell;;
fagnar;sfg3en;fagna;;
þeim;fpkfþ;hann;;
vel;aa;vel;;
og;c;og;;
býður;sfg3en;bjóða;;
þeim;fpkfþ;hann;;
greiða;nvfe;greiða;;
.;punct;.;;
Þórdís;nven-s;Þórdís;;
segir;sfg3en;segja;;
:;punct;:;;
«;punct;«;;
Sá;faken;sá;;
er;sfg3en;vera;;
málavöxtur;nken;málavöxtur;;
að;c;að;;
eg;fp1en;eg;;
ætla;sfg1en;ætla;;
að;cn;að;;
fara;sng;fara;;
á;ao;á;;
fund;nkeo;fundur;;
þeirra;fpkfe;hann;;
Gamla;nkee-s;Gamli;;
og;c;og;;
Grímu;nvee-s;Gríma;;
,;punct;,;;
þingmanna;nkfe;þingmaður;;
þinna;fekfe;þinn;;
,;punct;,;;
því;fpheþ;það;;
að;c;að;;
eg;fp1en;eg;;
þykist;sfm1en;þykja;;
þess;fphee;það;;
vís;lkensf;vís;;
orðin;sþgven;verða;;
að;c;að;;
þar;aa;þar;;
er;sfg3en;vera;;
kominn;sþgken;koma;;
Þormóður;nken-s;Þormóður;;
,;punct;,;;
skógarmaður;nken;skógarmaður;;
vor;feken;vor;;
,;punct;,;;
er;ct;er;;
margir;lkfnsf;margur;;
menn;nkfn;maður;;
hyggja;sfg3fn;hyggja;;
að;c;að;;
drukknaður;lkensf;drukknaður;;
sé;svg3en;vera;;
.;punct;.;;
Nú;aa;nú;;
vildi;svg1eþ;vilja;;
eg;fp1en;eg;;
að;c;að;;
þú;fp2en;þú;;
færir;svg2en;færa;;
með;ao;með;;
oss;fp1fo;vér;;
og;c;og;;
halt;lhensf;haltur;;
til;ae;til;;
þess;fphee;það;;
að;c;að;;
vér;fp1fn;vér;;
náum;sfg1fn;ná;;
lögum;nhfþ;lag;;
af;aþ;af;;
þeim;fpkfþ;hann;;
Gamla;nkeþ-s;Gamli;;
og;c;og;;
Grímu;nveþ-s;Gríma;;
.;punct;.;;
Veistu;sfg2en;vita;;
þá;aa;þá;;
gerla;aa;gerla;;
hvað;fsheo;hver;;
vér;fp1fn;vér;;
eigumst;sfm1fn;eiga;;
við;fp1fn;ég;;
ef;c;ef;;
þú;fp2en;þú;;
heyrir;sfg2en;heyra;;
ræður;nvfo;ræða;;
vorar;fevfo;vor;;
.;punct;.;;
»;punct;»;;
Þorkell;nken-s;Þorkell;;
svarar;sfg3en;svara;;
:;punct;:;;
«;punct;«;;
Ólíklegt;lhensf;ólíklegur;;
sýnist;sfm3en;sýna;;
mér;fp1eþ;ég;;
vera;sng;vera;;
að;cn;að;;
Gríma;sng;gríma;;
muni;nkfo;munur;;
varðveita;sng;varðveita;;
skógarmann;nkeo;skógarmaður;;
þinn;fekeo;þinn;;
en;c;en;;
þó;aa;þó;;
mun;sfg1en;munu;;
eg;fp1en;eg;;
fara;sng;fara;;
ef;c;ef;;
þér;fp2fn;þér;;
viljið;sfg2fn;vilja;;
.;punct;.;;
»;punct;»;;
Nú;aa;nú;;
eta;sfg3fn;eta;;
þau;fphfn;það;;
Þórdís;nven-s;Þórdís;;
þar;aa;þar;;
dagverð;nkeo;dagverður;;
.;punct;.;;
En;c;en;;
Þorkell;nken-s;Þorkell;;
sópast;sfm3en;sópa;;
að;aþ;að;;
mönnum;nkfþ;maður;;
því;fpheþ;það;;
að;c;að;;
hann;fpken;hann;;
vildi;sfg3eþ;vilja;;
ekki;aa;ekki;;
undir;aþ;undir;;
þeim;fpkfþ;hann;;
Þórdísi;nveþ-s;Þórdís;;
og;c;og;;
Böðvari;nkeþ-s;Böðvar;;
eiga;sng;eiga;;
ef;c;ef;;
þau;fphfn;það;;
yrðu;svg3fþ;verða;;
eigi;aa;eigi;;
á;ao;á;;
eitt;tfheo;einn;;
sátt;lhfnsf;sáttur;;
.;punct;.;;
Og;c;og;;
er;c;er;;
menn;nkfn;maður;;
voru;sfg3fþ;vera;;
mettir;sþgkfn;metja;;
þá;aa;þá;;
stígur;sfg3en;stíga;;
Þorkell;nken-s;Þorkell;;
á;ao;á;;
skip;nheo;skip;;
við;ao;við;;
tuttugu;tfkfo;tuttugu;;
menn;nkfo;maður;;
og;c;og;;
fara;sng;fara;;
þá;aa;þá;;
hvorirtveggju;fokfn;hvorirtveggju;;
við;ao;við;;
svo;aa;svo;;
búið;lheosf;búinn;;
.;punct;.;;
En;c;en;;
Gríma;nven-s;Gríma;;
kona;nven;kona;;
Gamla;nkee-s;Gamli;;
átti;sfg3eþ;eiga;;
stól;nkeo;stóll;;
einn;fokeo;einn;;
mikinn;lkeosf;mikill;;
en;c;en;;
á;aþ;á;;
brúðum;nvfþ;brúða;;
stólsins;nkeeg;stóll;;
var;sfg3eþ;vera;;
skorinn;sþgken;skera;;
Þór;nken-s;Þór;;
og;c;og;;
var;sfg3eþ;vera;;
það;fphen;það;;
mikið;lhensf;mikill;;
líkneski;nhen;líkneski;;
.;punct;.;;
Gríma;nven-s;Gríma;;
mælti;sfg3eþ;mæla;;
um;ao;um;;
myrgininn;nkeog;myrginur;;
:;punct;:;;
«;punct;«;;
Nú;aa;nú;;
vil;sfg1en;vilja;;
eg;fp1en;eg;;
skipa;sng;skipa;;
til;ae;til;;
verka;nhfe;verk;;
í;ao;í;;
dag;nkeo;dagur;;
.;punct;.;;
Stól;nkeo;stóll;;
minn;fekeo;minn;;
mun;sfg1en;munu;;
eg;fp1en;eg;;
setja;sng;setja;;
á;ao;á;;
stofugólf;nheo;stofugólf;;
mitt;feheo;minn;;
.;punct;.;;
Þar;aa;þar;;
vil;sfg1en;vilja;;
eg;fp1en;eg;;
Þormóður;nken-s;Þormóður;;
að;c;að;;
þú;fp2en;þú;;
sitjir;svg2en;sitja;;
á;ao;á;;
þá;fpkfo;hann;;
er;c;er;;
menn;nkfn;maður;;
koma;sfg3fn;koma;;
.;punct;.;;
Vil;sfg1en;vilja;;
eg;fp1en;eg;;
ekki;aa;ekki;;
að;c;að;;
þú;fp2en;þú;;
rísir;svg2en;rísa;;
upp;aa;upp;;
af;aþ;af;;
stólnum;nkeþg;stóll;;
meðan;c;meðan;;
Þórdís;nven-s;Þórdís;;
er;sfg3en;vera;;
á;aþ;á;;
bænum;nkeþg;bær;;
.;punct;.;;
Nú;aa;nú;;
þó;aa;þó;;
að;c;að;;
þér;fp2eþ;þú;;
þyki;svg3en;þykja;;
nokkurar;fovfo;nokkur;;
nýlundur;nvfn;nýlunda;;
í;ao;í;;
gerast;snm;gera;;
eða;c;eða;;
þér;fp2eþ;þú;;
sýnist;sfm3en;sýna;;
ófriður;nken;ófriður;;
að;aþ;að;;
þér;fp2eþ;þú;;
borinn;sþgken;bera;;
þá;aa;þá;;
rís;sfg3en;rísa;;
þú;fp2en;þú;;
ekki;aa;ekki;;
upp;aa;upp;;
af;aþ;af;;
stólinum;nkeþg;stóill;;
því;fpheþ;það;;
að;c;að;;
ekki;aa;ekki;;
mun;sfg3en;munu;;
stoða;sng;stoða;;
að;c;að;;
hrökkva;sng;hrökkva;;
í;ao;í;;
hyrningar;nvfo;hyrning;;
undan;aa;undan;;
ef;c;ef;;
þér;fp2eþ;þú;;
verður;sfg3en;verða;;
bana;nkeþ;bani;;
auðið;lhensf;auðið;;
.;punct;.;;
Gamli;nken-s;Gamli;;
skal;sfg3en;skulu;;
festa;sng;festa;;
upp;aa;upp;;
ketil;nkeo;ketill;;
og;c;og;;
sjóða;sng;sjóða;;
sel;nhfo;sel;;
.;punct;.;;
Þú;fp2en;þú;;
skalt;sfg2en;skulu;;
bera;sng;bera;;
sorp;nheo;sorp;;
á;ao;á;;
eldinn;nkeog;eldur;;
og;c;og;;
lát;nhfn;lát;;
verða;sfg3fn;verða;;
mikinn;lkeosf;mikill;;
reyk;nkeo;reykur;;
í;aþ;í;;
húsunum;nhfþg;hús;;
.;punct;.;;
Eg;fp1en;Eg;;
mun;sfg1en;munu;;
sitja;sng;sitja;;
í;aþ;í;;
durum;nvfþ;dura;;
og;c;og;;
spinna;sng;spinna;;
garn;nheo;garn;;
og;c;og;;
taka;sng;taka;;
við;aþ;við;;
komendum;nkfþ;komandi;;
.;punct;.;;
»;punct;»;;
Nú;aa;nú;;
er;sfg3en;vera;;
svo;aa;svo;;
gert;sþghen;gera;;
sem;c;sem;;
Gríma;nven-s;Gríma;;
sagði;sfg3eþ;segja;;
fyrir;aa;fyrir;;
.;punct;.;;
Og;c;og;;
er;sfg3en;vera;;
skip;nhen;skip;;
þeirra;fphfe;það;;
Þorkels;nkee-s;Þorkell;;
og;c;og;;
Þórdísar;nvee-s;Þórdís;;
sjást;sfm3fn;sjá;;
að;aþ;að;;
landi;nheþ;land;;
fara;sng;fara;;
sest;ssm;setja;;
Þormóður;nken-s;Þormóður;;
á;ao;á;;
stólinn;nkeog;stóll;;
.;punct;.;;
Gamli;nken-s;Gamli;;
hafði;sfg3eþ;hafa;;
uppi;aa;uppi;;
ketilinn;nkeog;ketill;;
og;c;og;;
bar;sfg3eþ;bera;;
á;ao;á;;
sorpið;nheog;sorp;;
á;ao;á;;
eldinn;nkeog;eldur;;
.;punct;.;;
Varð;sfg3eþ;verða;;
mjög;aa;mjög;;
reykfast;lhensf;reykfastur;;
í;aþ;í;;
húsunum;nhfþg;hús;;
.;punct;.;;
Þar;aa;þar;;
fylgdi;sfg3eþ;fylgja;;
og;c;og;;
myrkur;nhen;myrkur;;
mikið;lhensf;mikill;;
svo;aa;svo;;
að;c;að;;
ekki;aa;ekki;;
mátti;sfg3eþ;mega;;
sjá;sng;sjá;;
.;punct;.;;
Gríma;nven-s;Gríma;;
sat;sfg3eþ;sitja;;
á;aþ;á;;
þröskuldi;nkeþ;þröskuldur;;
og;c;og;;
spann;sfg3eþ;spinna;;
garn;nheo;garn;;
og;c;og;;
kvað;sfg3eþ;kveða;;
nokkuð;fohen;nokkur;;
fyrir;aþ;fyrir;;
sér;fpkeþ;sig;;
það;faheo;sá;;
er;ct;er;;
aðrir;fokfn;annar;;
skildu;sfg3fþ;skilja;;
ekki;aa;ekki;;
.;punct;.;;
Nú;aa;nú;;
renna;sfg3fn;renna;;
skip;nhfn;skip;;
að;aþ;að;;
landi;nheþ;land;;
og;c;og;;
ganga;sfg3fn;ganga;;
menn;nkfn;maður;;
upp;aa;upp;;
til;ae;til;;
bæjarins;nkeeg;bær;;
.;punct;.;;
Gengur;sfg3en;ganga;;
Þorkell;nken-s;Þorkell;;
upp;aa;upp;;
.;punct;.;;
Gríma;nven-s;Gríma;;
heilsar;sfg3en;heilsa;;
honum;fpkeþ;hann;;
vel;aa;vel;;
og;c;og;;
bauð;sfg3eþ;bjóða;;
honum;fpkeþ;hann;;
þar;aa;þar;;
að;cn;að;;
vera;sng;vera;;
.;punct;.;;
Þorkell;nken-s;Þorkell;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Þórdís;nven-s;Þórdís;;
af;aþ;af;;
Löngunesi;nheþ-s;Löngunes;;
er;sfg3en;vera;;
hér;aa;hér;;
í;aþ;í;;
för;nveþ;för;;
og;c;og;;
hefir;sfg3en;hafa;;
hún;fpven;hún;;
það;fpheo;það;;
fyrir;ao;fyrir;;
satt;lheosf;sannur;;
að;c;að;;
Þormóður;nken-s;Þormóður;;
skógarmaður;nken;skógarmaður;;
hennar;fpvee;hún;;
sé;svg3en;vera;;
hér;aa;hér;;
með;aþ;með;;
þér;fp2eþ;þú;;
.;punct;.;;
Viljum;sfg1fn;vilja;;
vér;fp1fn;vér;;
að;c;að;;
þú;fp2en;þú;;
seljir;svg2en;selja;;
Þormóð;nkeo-s;Þormóður;;
fram;aa;fram;;
ef;c;ef;;
þú;fp2en;þú;;
veist;sfg2en;vita;;
hvar;aa;hvar;;
hann;fpken;hann;;
er;sfg3en;vera;;
því;aa;því;;
að;c;að;;
þér;fp2eþ;þú;;
mun;sfg3en;munu;;
það;fphen;það;;
ofráð;nhen;ofráð;;
verða;sng;verða;;
að;cn;að;;
halda;sng;halda;;
skógarmann;nkeo;skógarmaður;;
fyrir;aþ;fyrir;;
þeim;fpkfþ;hann;;
Þórdísi;nveþ-s;Þórdís;;
og;c;og;;
Böðvari;nkeþ-s;Böðvar;;
syni;nkeþ;sonur;;
hennar;fpvee;hún;;
.;punct;.;;
»;punct;»;;
Gríma;nven;gríma;;
svarar;sfg3en;svara;;
:;punct;:;;
«;punct;«;;
Undarlegt;lhensf;undarlegur;;
sýnist;sfm3en;sýna;;
mér;fp1eþ;ég;;
vera;sng;vera;;
að;c;að;;
Þórdís;nven-s;Þórdís;;
ætlar;sfg3en;ætla;;
að;c;að;;
eg;fp1en;eg;;
muni;svg1en;muna;;
halda;sng;halda;;
skógarmann;nkeo;skógarmaður;;
fyrir;aþ;fyrir;;
svo;aa;svo;;
ríkum;lkfþsf;ríkur;;
mönnum;nkfþ;maður;;
sem;ct;sem;;
þau;fphfn;það;;
eru;sfg3fn;vera;;
á;aþ;á;;
Löngunesi;nheþ-s;Löngunes;;
þar;aa;þar;;
sem;c;sem;;
eg;fp1en;eg;;
sit;sfg1en;sitja;;
við;ao;við;;
annan;fokeo;annar;;
mann;nkeo;maður;;
í;aþ;í;;
húsi;nheþ;hús;;
.;punct;.;;
»;punct;»;;
«;punct;«;;
Víst;aa;víst;;
er;sfg3en;vera;;
það;fphen;það;;
undarlegt;lhensf;undarlegur;;
en;c;en;;
þó;aa;þó;;
viljum;sfg1fn;vilja;;
vér;fp1fn;vér;;
rannsaka;sng;rannsaka;;
herbergi;nhfo;herbergi;;
þín;fehfo;þinn;;
.;punct;.;;
»;punct;»;;
Gríma;nven;gríma;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Þess;fphee;það;;
munuð;sfg2fn;munu;;
þér;fp2fn;þér;;
kost;nkeo;kostur;;
eiga;sng;eiga;;
að;cn;að;;
rannsaka;sng;rannsaka;;
bæ;nkeo;bær;;
minn;fekeo;minn;;
þó;aa;þó;;
að;c;að;;
þér;fp2fn;þér;;
hefðuð;svg2fþ;hafa;;
eigi;svg3en;eiga;;
svo;aa;svo;;
mikið;lheosf;mikill;;
fjölmenni;nheo;fjölmenni;;
.;punct;.;;
Nú;aa;nú;;
þykir;sfg3en;þykja;;
mér;fp1eþ;ég;;
ávallt;aa;ávallt;;
gott;lhensf;góður;;
er;c;er;;
þú;fp2en;þú;;
kemur;sfg2en;koma;;
í;ao;í;;
mín;fehfo;minn;;
hús;nhfo;hús;;
en;c;en;;
illt;lhensf;illur;;
mun;sfg3en;munu;;
mér;fp1eþ;ég;;
þykja;sng;þykja;;
geis;nven;geis;;
þeirra;fpkfe;hann;;
Einarsfirðinga;nkfe-s;Einarsfirðingur;;
og;c;og;;
spellvirkni;nven;spellvirkni;;
um;ao;um;;
herbergi;nhfo;herbergi;;
mín;fehfo;minn;;
.;punct;.;;
»;punct;»;;
Þorkell;nken-s;Þorkell;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Við;fp1fn;ég;;
Þórdís;nven-s;Þórdís;;
munum;sfg1fn;munu;;
ganga;sng;ganga;;
inn;aa;inn;;
tvö;tfhfo;tveir;;
og;c;og;;
rannsaka;sng;rannsaka;;
.;punct;.;;
»;punct;»;;
Nú;aa;nú;;
gera;sfg3fn;gera;;
þau;fphfn;það;;
svo;aa;svo;;
.;punct;.;;
Fóru;sfg3fþ;fara;;
þau;fphfn;það;;
inn;aa;inn;;
og;c;og;;
rannsökuðu;sfg3fþ;rannsaka;;
og;c;og;;
var;sfg3eþ;vera;;
það;fphen;það;;
ekki;aa;ekki;;
löng;lvensf;langur;;
dvöl;nven;dvöl;;
því;fpheþ;það;;
að;c;að;;
húsin;nhfng;hús;;
voru;sfg3fþ;vera;;
einkar;aa;einkar;;
lítil;lhfnsf;lítill;;
.;punct;.;;
Þau;fphfn;það;;
luku;sfg3fþ;ljúka;;
þá;aa;þá;;
upp;aa;upp;;
stofunni;nveþg;stofa;;
og;c;og;;
var;sfg3eþ;vera;;
þar;aa;þar;;
fullt;lhensf;fullur;;
allt;fohen;allur;;
af;aþ;af;;
reyk;nkeþ;reykur;;
og;c;og;;
sáu;sfg3fþ;sjá;;
þau;fphfn;það;;
ekki;aa;ekki;;
til;ae;til;;
tíðinda;nhfe;tíðindi;;
.;punct;.;;
Rammt;aa;rammt;;
var;sfg3eþ;vera;;
í;aþ;í;;
húsunum;nhfþg;hús;;
af;aþ;af;;
reyk;nkeþ;reykur;;
og;c;og;;
voru;sfg3fþ;vera;;
þau;fphfn;það;;
heldur;aam;gjarna;;
skemur;aam;skammt;;
inni;aa;inni;;
en;c;en;;
þau;fphfn;það;;
mundu;svg3fþ;munu;;
ef;c;ef;;
reyklaust;lhensf;reyklaus;;
hefði;svg3eþ;hafa;;
verið;ssg;vera;;
.;punct;.;;
Nú;aa;nú;;
koma;sfg3fn;koma;;
þau;fphfn;það;;
út;aa;út;;
og;c;og;;
var;sfg3eþ;vera;;
þá;aa;þá;;
rannsakaður;sþgken;rannsaka;;
bærinn;nkeng;bær;;
úti;aa;úti;;
.;punct;.;;
Þá;aa;þá;;
mælti;sfg3eþ;mæla;;
Þórdís;nven-s;Þórdís;;
:;punct;:;;
«;punct;«;;
Eigi;aa;eigi;;
þóttist;sfm1eþ;þykja;;
eg;fp1en;eg;;
mega;sng;mega;;
sjá;sng;sjá;;
gjörla;aa;gjörla;;
fyrir;aþ;fyrir;;
reykinum;nkeþg;reykir;;
hvað;fshen;hver;;
í;aþ;í;;
stofunni;nveþg;stofa;;
var;sfg3eþ;vera;;
títt;lhensf;tíður;;
.;punct;.;;
Nú;aa;nú;;
munum;sfg1fn;munu;;
við;fp1fn;ég;;
fara;sng;fara;;
upp;aa;upp;;
á;ao;á;;
stofuna;nveog;stofa;;
og;c;og;;
taka;sng;taka;;
af;aa;af;;
skjána;nveog;skjá;;
og;c;og;;
láta;sng;láta;;
leggja;sng;leggja;;
út;aa;út;;
reykinn;nkeog;reykur;;
og;c;og;;
sjá;sng;sjá;;
þaðan;aa;þaðan;;
hvað;fshen;hver;;
í;aþ;í;;
stofunni;nveþg;stofa;;
er;sfg3en;vera;;
til;ae;til;;
tíðinda;nhfe;tíðindi;;
.;punct;.;;
»;punct;»;;
Nú;aa;nú;;
fara;sfg3fn;fara;;
þau;fphfn;það;;
Böðvar;nken-s;Böðvar;;
og;c;og;;
Þórdís;nven-s;Þórdís;;
á;ao;á;;
stofuna;nveog;stofa;;
upp;aa;upp;;
og;c;og;;
taka;sng;taka;;
af;aa;af;;
skjána;nveog;skjá;;
.;punct;.;;
Leggur;sfg3en;leggja;;
þá;aa;þá;;
út;ao;út;;
reykinn;nkeog;reykur;;
.;punct;.;;
Má;sfg3en;mega;;
þá;aa;þá;;
sjá;sng;sjá;;
um;ao;um;;
alla;foveo;allur;;
stofuna;nveog;stofa;;
,;punct;,;;
geta;sfg3fn;geta;;
þá;aa;þá;;
að;cn;að;;
líta;sng;líta;;
stól;nkeo;stóll;;
Grímu;nvee-s;Gríma;;
þar;aa;þar;;
er;c;er;;
hann;fpken;hann;;
stóð;sfg3eþ;standa;;
á;aþ;á;;
miðju;lheþsf;miður;;
gólfi;nheþ;gólf;;
.;punct;.;;
Þau;fphfn;það;;
sáu;sfg3fþ;sjá;;
Þór;nken-s;Þór;;
með;aþ;með;;
hamri;nkeþ;hamar;;
sínum;fekeþ;sinn;;
skorinn;x;skorinn;;
á;aþ;á;;
stólsbrúðunum;nvfþg;stólsbrúða;;
en;c;en;;
þau;fphfn;það;;
sáu;sfg3fþ;sjá;;
ekki;aa;ekki;;
Þormóð;nkeo-s;Þormóður;;
.;punct;.;;
Fara;sfg3fn;fara;;
þau;fphfn;það;;
af;aþ;af;;
stofunni;nveþg;stofa;;
og;c;og;;
ganga;sng;ganga;;
til;ae;til;;
duranna;nvfeg;dura;;
.;punct;.;;
Þá;aa;þá;;
mælti;sfg3eþ;mæla;;
Þórdís;nven-s;Þórdís;;
:;punct;:;;
«;punct;«;;
Eftir;aa;eftir;;
er;sfg3en;vera;;
enn;aa;enn;;
nakkvað;fohen;nakkver;;
fyrnsku;nveþ;fyrnska;;
Grímu;nvee-s;Gríma;;
er;sfg3en;vera;;
Þórs;nkee-s;Þór;;
líkneski;nhen;líkneski;;
er;sfg3en;vera;;
skorið;sþghen;skera;;
á;aþ;á;;
stólsbrúðum;nvfþ;stólsbrúða;;
hennar;fpvee;hún;;
.;punct;.;;
»;punct;»;;
Gríma;nven;gríma;;
svarar;sfg3en;svara;;
:;punct;:;;
«;punct;«;;
Eg;fp1en;Eg;;
